Stimulus,ELP_N_morphs,Crowdsourced_Mean_Morpheme_Count,Crowdsourced_Raw_SD,Crowdsourced_Raw_Median,Crowdsourced_Min,Crowdsourced_Max,Crowdsourced_N,BLUP_Adjusted_Moprheme_Count,BLUP_Adjustment,Transparencey_Measures: ,Signed_Discrepancy_BLUP_minus_ELP,Absolute_Discrepancy,Transparency_Proximity_0_1,Undersegmentation,Oversegmentation,BLUP_Rounded,Item_Rest_Cor,Item_Rest_N
unenforceably,4.00,4.40,0.97,4.50,3.00,6.00,10.00,4.21,1.50,,0.21,0.21,0.83,0.00,0.21,4.00,0.82,10.00
abundant,2.00,1.91,0.54,2.00,1.00,3.00,11.00,1.96,-0.75,,-0.04,0.04,0.96,0.04,0.00,2.00,0.92,11.00
adornment,2.00,2.18,0.40,2.00,2.00,3.00,11.00,2.29,-0.41,,0.29,0.29,0.77,0.00,0.29,2.00,0.60,11.00
anklet,2.00,2.00,0.00,2.00,2.00,2.00,12.00,2.03,-0.68,,0.03,0.03,0.97,0.00,0.03,2.00,,12.00
articulatory,3.00,3.00,1.00,3.00,2.00,5.00,11.00,2.87,0.17,,-0.13,0.13,0.89,0.13,0.00,3.00,0.39,11.00
astonishment,2.00,2.33,0.49,2.00,2.00,3.00,12.00,2.42,-0.28,,0.42,0.42,0.70,0.00,0.42,2.00,0.23,12.00
aviation,3.00,2.11,0.33,2.00,2.00,3.00,9.00,2.25,-0.45,,-0.75,0.75,0.57,0.75,0.00,2.00,-0.58,9.00
basic,2.00,1.36,0.50,1.00,1.00,2.00,11.00,1.51,-1.19,,-0.49,0.49,0.67,0.49,0.00,2.00,0.66,11.00
blondest,2.00,2.11,0.33,2.00,2.00,3.00,9.00,2.15,-0.56,,0.15,0.15,0.87,0.00,0.15,2.00,0.13,9.00
booker,2.00,2.00,0.00,2.00,2.00,2.00,9.00,2.02,-0.68,,0.02,0.02,0.98,0.00,0.02,2.00,,9.00
briefly,2.00,2.00,0.00,2.00,2.00,2.00,10.00,2.02,-0.68,,0.02,0.02,0.98,0.00,0.02,2.00,,10.00
bumpy,2.00,2.00,0.00,2.00,2.00,2.00,12.00,1.99,-0.71,,-0.01,0.01,0.99,0.01,0.00,2.00,,12.00
candidly,2.00,2.20,0.42,2.00,2.00,3.00,10.00,2.36,-0.34,,0.36,0.36,0.73,0.00,0.36,2.00,0.37,10.00
cashable,2.00,2.17,0.39,2.00,2.00,3.00,12.00,2.10,-0.60,,0.10,0.10,0.91,0.00,0.10,2.00,0.29,12.00
circular,2.00,2.27,0.65,2.00,1.00,3.00,11.00,2.26,-0.44,,0.26,0.26,0.79,0.00,0.26,2.00,0.74,11.00
civilly,2.00,2.09,0.30,2.00,2.00,3.00,11.00,2.20,-0.51,,0.20,0.20,0.83,0.00,0.20,2.00,0.77,11.00
clinically,3.00,2.64,0.50,3.00,2.00,3.00,11.00,2.75,0.04,,-0.25,0.25,0.80,0.25,0.00,3.00,0.52,11.00
