Stimulus,ELP_N_morphs,Crowdsourced_Mean_Morpheme_Count,Crowdsourced_Raw_SD,Crowdsourced_Raw_Median,Crowdsourced_Min,Crowdsourced_Max,Crowdsourced_N,BLUP_Adjusted_Moprheme_Count,BLUP_Adjustment,Transparencey_Measures: ,Signed_Discrepancy_BLUP_minus_ELP,Absolute_Discrepancy,Transparency_Proximity_0_1,Undersegmentation,Oversegmentation,BLUP_Rounded,Item_Rest_Cor,Item_Rest_N
dissipation,2.00,2.50,0.93,2.50,1.00,4.00,8.00,2.67,-0.03,,0.67,0.67,0.60,0.00,0.67,3.00,0.82,8.00
metamorphoses,4.00,3.75,0.89,4.00,2.00,5.00,8.00,3.53,0.82,,-0.47,0.47,0.68,0.47,0.00,4.00,0.76,8.00
nonmetabolizable,4.00,4.20,1.14,4.00,3.00,6.00,10.00,3.99,1.29,,-0.01,0.01,0.99,0.01,0.00,4.00,0.77,10.00
seasonally,3.00,2.56,0.73,2.00,2.00,4.00,9.00,2.68,-0.02,,-0.32,0.32,0.76,0.32,0.00,3.00,0.79,9.00
aftercare,2.00,2.22,0.44,2.00,2.00,3.00,9.00,2.11,-0.59,,0.11,0.11,0.90,0.00,0.11,2.00,0.85,9.00
byline,2.00,2.00,0.50,2.00,1.00,3.00,9.00,1.91,-0.79,,-0.09,0.09,0.92,0.09,0.00,2.00,0.24,9.00
hopeless,2.00,2.00,0.00,2.00,2.00,2.00,11.00,1.99,-0.72,,-0.01,0.01,0.99,0.01,0.00,2.00,,11.00
loosely,2.00,1.90,0.32,2.00,1.00,2.00,10.00,2.06,-0.65,,0.06,0.06,0.95,0.00,0.06,2.00,0.33,10.00
meekly,2.00,1.92,0.28,2.00,1.00,2.00,13.00,1.98,-0.73,,-0.02,0.02,0.98,0.02,0.00,2.00,0.61,13.00
meteorite,2.00,2.00,0.50,2.00,1.00,3.00,9.00,2.10,-0.61,,0.10,0.10,0.91,0.00,0.10,2.00,0.21,9.00
overshot,2.00,2.00,0.47,2.00,1.00,3.00,10.00,2.12,-0.59,,0.12,0.12,0.89,0.00,0.12,2.00,0.61,10.00
quickie,2.00,2.00,0.00,2.00,2.00,2.00,11.00,1.93,-0.77,,-0.07,0.07,0.94,0.07,0.00,2.00,,11.00
saner,2.00,2.00,0.00,2.00,2.00,2.00,8.00,2.10,-0.61,,0.10,0.10,0.91,0.00,0.10,2.00,,8.00
softish,2.00,2.00,0.00,2.00,2.00,2.00,11.00,2.05,-0.66,,0.05,0.05,0.95,0.00,0.05,2.00,,11.00
trotter,2.00,2.10,0.32,2.00,2.00,3.00,10.00,2.08,-0.63,,0.08,0.08,0.93,0.00,0.08,2.00,0.00,10.00
vitally,2.00,2.09,0.70,2.00,1.00,3.00,11.00,2.15,-0.55,,0.15,0.15,0.87,0.00,0.15,2.00,0.64,11.00
courtships,3.00,2.67,0.50,3.00,2.00,3.00,9.00,2.53,-0.17,,-0.47,0.47,0.68,0.47,0.00,3.00,-0.02,9.00
declines,3.00,2.64,0.50,3.00,2.00,3.00,11.00,2.43,-0.28,,-0.57,0.57,0.64,0.57,0.00,2.00,0.19,11.00
dismembered,3.00,3.22,0.44,3.00,3.00,4.00,9.00,3.21,0.51,,0.21,0.21,0.82,0.00,0.21,3.00,0.24,9.00
elopement,2.00,2.31,0.63,2.00,2.00,4.00,13.00,2.38,-0.32,,0.38,0.38,0.72,0.00,0.38,2.00,0.54,13.00
emigration,4.00,3.18,0.40,3.00,3.00,4.00,11.00,3.10,0.39,,-0.90,0.90,0.53,0.90,0.00,3.00,0.30,11.00
finalizes,3.00,2.90,0.88,3.00,2.00,5.00,10.00,2.86,0.15,,-0.14,0.14,0.88,0.14,0.00,3.00,0.61,10.00
infallible,2.00,2.73,0.47,3.00,2.00,3.00,11.00,2.75,0.04,,0.75,0.75,0.57,0.00,0.75,3.00,0.65,11.00
memorising,3.00,3.10,0.57,3.00,2.00,4.00,10.00,2.92,0.22,,-0.08,0.08,0.93,0.08,0.00,3.00,0.78,10.00
monograms,3.00,2.78,0.44,3.00,2.00,3.00,9.00,2.82,0.12,,-0.18,0.18,0.85,0.18,0.00,3.00,0.34,9.00
righteously,3.00,3.00,0.47,3.00,2.00,4.00,10.00,2.97,0.26,,-0.03,0.03,0.97,0.03,0.00,3.00,0.15,10.00
sheepishly,3.00,2.90,0.32,3.00,2.00,3.00,10.00,2.70,-0.01,,-0.30,0.30,0.77,0.30,0.00,3.00,0.41,10.00
subsystems,3.00,2.90,0.32,3.00,2.00,3.00,10.00,2.86,0.15,,-0.14,0.14,0.88,0.14,0.00,3.00,0.14,10.00
sunniness,3.00,2.56,0.53,3.00,2.00,3.00,9.00,2.53,-0.17,,-0.47,0.47,0.68,0.47,0.00,3.00,0.77,9.00
suppleness,2.00,2.17,0.39,2.00,2.00,3.00,12.00,2.23,-0.47,,0.23,0.23,0.81,0.00,0.23,2.00,0.53,12.00
transaction,3.00,2.90,0.57,3.00,2.00,4.00,10.00,2.66,-0.04,,-0.34,0.34,0.75,0.34,0.00,3.00,0.63,10.00
travelers,3.00,2.60,0.84,3.00,1.00,4.00,10.00,2.60,-0.11,,-0.40,0.40,0.71,0.40,0.00,3.00,0.82,10.00
underarms,3.00,3.30,0.67,3.00,3.00,5.00,10.00,3.12,0.41,,0.12,0.12,0.90,0.00,0.12,3.00,-0.57,10.00
understatement,3.00,3.20,0.63,3.00,2.00,4.00,10.00,3.02,0.31,,0.02,0.02,0.98,0.00,0.02,3.00,0.46,10.00
wilderness,2.00,2.67,0.50,3.00,2.00,3.00,9.00,2.77,0.07,,0.77,0.77,0.56,0.00,0.77,3.00,0.27,9.00
accountancy,3.00,3.20,0.92,3.50,2.00,4.00,10.00,3.13,0.43,,0.13,0.13,0.88,0.00,0.13,3.00,0.73,10.00
contradicting,3.00,3.18,0.40,3.00,3.00,4.00,11.00,3.25,0.55,,0.25,0.25,0.80,0.00,0.25,3.00,0.28,11.00
executioner,4.00,3.27,0.79,3.00,2.00,5.00,11.00,3.21,0.51,,-0.79,0.79,0.56,0.79,0.00,3.00,0.90,11.00
intercontinental,4.00,3.67,0.71,4.00,3.00,5.00,9.00,3.56,0.85,,-0.44,0.44,0.69,0.44,0.00,4.00,0.70,9.00
perfectionism,4.00,3.60,0.52,4.00,3.00,4.00,10.00,3.50,0.79,,-0.50,0.50,0.66,0.50,0.00,3.00,0.61,10.00
protesters,3.00,3.33,0.71,3.00,2.00,4.00,9.00,3.16,0.45,,0.16,0.16,0.86,0.00,0.16,3.00,0.48,9.00
proximities,3.00,3.20,0.79,3.00,2.00,4.00,10.00,3.08,0.38,,0.08,0.08,0.92,0.00,0.08,3.00,0.84,10.00
readerships,4.00,3.10,0.74,3.00,2.00,4.00,10.00,3.01,0.31,,-0.99,0.99,0.50,0.99,0.00,3.00,0.72,10.00
reportedly,4.00,3.10,0.74,3.00,2.00,4.00,10.00,2.98,0.28,,-1.02,1.02,0.50,1.02,0.00,3.00,0.74,10.00
uncolonized,4.00,3.27,0.65,3.00,2.00,4.00,11.00,3.21,0.51,,-0.79,0.79,0.56,0.79,0.00,3.00,0.86,11.00
artists,3.00,2.36,0.81,3.00,1.00,3.00,11.00,2.43,-0.28,,-0.57,0.57,0.64,0.57,0.00,2.00,0.36,11.00
broader,2.00,1.91,0.30,2.00,1.00,2.00,11.00,1.91,-0.79,,-0.09,0.09,0.92,0.09,0.00,2.00,0.66,11.00
creamier,3.00,2.10,0.57,2.00,1.00,3.00,10.00,2.24,-0.46,,-0.76,0.76,0.57,0.76,0.00,2.00,0.03,10.00
hopefuls,3.00,2.71,0.49,3.00,2.00,3.00,7.00,2.46,-0.25,,-0.54,0.54,0.65,0.54,0.00,2.00,-0.02,7.00
nervous,2.00,1.89,0.60,2.00,1.00,3.00,9.00,1.90,-0.81,,-0.10,0.10,0.91,0.10,0.00,2.00,0.70,9.00
outcrop,2.00,2.00,0.00,2.00,2.00,2.00,11.00,1.98,-0.73,,-0.02,0.02,0.98,0.02,0.00,2.00,,11.00
poetics,2.00,2.80,0.42,3.00,2.00,3.00,10.00,2.67,-0.03,,0.67,0.67,0.60,0.00,0.67,3.00,0.17,10.00
refunds,3.00,2.10,0.74,2.00,1.00,3.00,10.00,2.21,-0.49,,-0.79,0.79,0.56,0.79,0.00,2.00,0.52,10.00
satiny,2.00,2.00,0.47,2.00,1.00,3.00,10.00,2.03,-0.67,,0.03,0.03,0.97,0.00,0.03,2.00,0.66,10.00
sculptural,3.00,2.33,0.50,2.00,2.00,3.00,9.00,2.40,-0.30,,-0.60,0.60,0.63,0.60,0.00,2.00,0.56,9.00
streamers,3.00,2.44,0.73,3.00,1.00,3.00,9.00,2.61,-0.10,,-0.39,0.39,0.72,0.39,0.00,3.00,0.73,9.00
strikingly,3.00,2.44,0.73,3.00,1.00,3.00,9.00,2.56,-0.14,,-0.44,0.44,0.70,0.44,0.00,3.00,0.73,9.00
tragical,2.00,2.00,0.00,2.00,2.00,2.00,11.00,2.08,-0.62,,0.08,0.08,0.92,0.00,0.08,2.00,,11.00
tricksters,3.00,2.70,0.48,3.00,2.00,3.00,10.00,2.78,0.07,,-0.22,0.22,0.82,0.22,0.00,3.00,0.80,10.00
warranty,2.00,2.09,0.54,2.00,1.00,3.00,11.00,2.10,-0.60,,0.10,0.10,0.91,0.00,0.10,2.00,0.26,11.00
wittily,3.00,2.22,0.44,2.00,2.00,3.00,9.00,2.32,-0.38,,-0.68,0.68,0.60,0.68,0.00,2.00,0.46,9.00
dependability,4.00,3.44,1.01,3.00,2.00,5.00,9.00,3.50,0.80,,-0.50,0.50,0.67,0.50,0.00,4.00,0.79,9.00
enactments,4.00,3.45,0.82,3.00,2.00,5.00,11.00,3.37,0.67,,-0.63,0.63,0.61,0.63,0.00,3.00,0.31,11.00
idealization,3.00,3.11,0.78,3.00,2.00,4.00,9.00,3.16,0.46,,0.16,0.16,0.86,0.00,0.16,3.00,0.27,9.00
illusionist,3.00,2.73,0.65,3.00,2.00,4.00,11.00,2.70,-0.01,,-0.30,0.30,0.77,0.30,0.00,3.00,0.86,11.00
paradoxically,3.00,3.30,0.67,3.00,2.00,4.00,10.00,3.37,0.66,,0.37,0.37,0.73,0.00,0.37,3.00,0.79,10.00
parameters,3.00,2.60,0.70,3.00,1.00,3.00,10.00,2.67,-0.04,,-0.33,0.33,0.75,0.33,0.00,3.00,0.79,10.00
pilgrimages,3.00,2.70,0.82,3.00,1.00,4.00,10.00,2.82,0.12,,-0.18,0.18,0.85,0.18,0.00,3.00,0.81,10.00
repopulating,3.00,3.33,0.50,3.00,3.00,4.00,9.00,3.24,0.54,,0.24,0.24,0.80,0.00,0.24,3.00,0.66,9.00
restructure,3.00,2.60,0.52,3.00,2.00,3.00,10.00,2.65,-0.06,,-0.35,0.35,0.74,0.35,0.00,3.00,0.68,10.00
ruthlessness,3.00,3.00,0.00,3.00,3.00,3.00,10.00,2.89,0.18,,-0.11,0.11,0.90,0.11,0.00,3.00,,10.00
supplemental,3.00,2.67,0.71,3.00,2.00,4.00,9.00,2.78,0.07,,-0.22,0.22,0.82,0.22,0.00,3.00,0.61,9.00
underdogs,3.00,2.75,0.62,3.00,2.00,4.00,12.00,2.90,0.19,,-0.10,0.10,0.91,0.10,0.00,3.00,0.80,12.00
undignified,4.00,3.00,0.60,3.00,2.00,4.00,12.00,3.13,0.42,,-0.87,0.87,0.53,0.87,0.00,3.00,0.53,12.00
incomprehension,4.00,4.00,1.00,4.00,3.00,6.00,11.00,3.91,1.20,,-0.09,0.09,0.92,0.09,0.00,4.00,0.87,11.00
thoughtlessness,3.00,3.18,0.40,3.00,3.00,4.00,11.00,3.09,0.39,,0.09,0.09,0.91,0.00,0.09,3.00,0.19,11.00
brewer,2.00,2.00,0.00,2.00,2.00,2.00,9.00,2.00,-0.71,,0.00,0.00,1.00,0.00,0.00,2.00,,9.00
disuse,2.00,1.82,0.40,2.00,1.00,2.00,11.00,2.00,-0.71,,0.00,0.00,1.00,0.00,0.00,2.00,0.58,11.00
fatty,2.00,2.00,0.00,2.00,2.00,2.00,9.00,1.98,-0.72,,-0.02,0.02,0.98,0.02,0.00,2.00,,9.00
gummier,3.00,2.60,0.52,3.00,2.00,3.00,10.00,2.45,-0.25,,-0.55,0.55,0.65,0.55,0.00,2.00,0.48,10.00
millionth,2.00,1.90,0.57,2.00,1.00,3.00,10.00,1.88,-0.83,,-0.12,0.12,0.89,0.12,0.00,2.00,0.28,10.00
overhauled,3.00,2.82,0.60,3.00,2.00,4.00,11.00,2.87,0.16,,-0.13,0.13,0.88,0.13,0.00,3.00,0.58,11.00
review,2.00,2.00,0.00,2.00,2.00,2.00,10.00,2.07,-0.63,,0.07,0.07,0.93,0.00,0.07,2.00,,10.00
screechy,2.00,1.80,0.42,2.00,1.00,2.00,10.00,1.91,-0.79,,-0.09,0.09,0.92,0.09,0.00,2.00,0.59,10.00
scummy,2.00,1.82,0.40,2.00,1.00,2.00,11.00,1.92,-0.78,,-0.08,0.08,0.93,0.08,0.00,2.00,-0.13,11.00
suicidal,3.00,2.20,0.42,2.00,2.00,3.00,10.00,2.14,-0.57,,-0.86,0.86,0.54,0.86,0.00,2.00,0.65,10.00
archangel,2.00,2.50,0.53,2.50,2.00,3.00,10.00,2.47,-0.23,,0.47,0.47,0.68,0.00,0.47,2.00,0.90,10.00
bagfuls,3.00,2.80,0.42,3.00,2.00,3.00,10.00,2.79,0.08,,-0.21,0.21,0.82,0.21,0.00,3.00,0.56,10.00
construction,3.00,2.73,0.47,3.00,2.00,3.00,11.00,2.72,0.01,,-0.28,0.28,0.78,0.28,0.00,3.00,0.42,11.00
guardsmen,3.00,2.80,0.42,3.00,2.00,3.00,10.00,2.61,-0.10,,-0.39,0.39,0.72,0.39,0.00,3.00,-0.50,10.00
magnificent,2.00,2.22,0.83,2.00,1.00,3.00,9.00,2.27,-0.43,,0.27,0.27,0.79,0.00,0.27,2.00,0.11,9.00
modestly,2.00,2.44,0.53,2.00,2.00,3.00,9.00,2.34,-0.37,,0.34,0.34,0.75,0.00,0.34,2.00,0.59,9.00
negligent,2.00,2.00,0.94,2.00,1.00,3.00,10.00,2.01,-0.69,,0.01,0.01,0.99,0.00,0.01,2.00,0.81,10.00
nonliteral,2.00,2.55,0.52,3.00,2.00,3.00,11.00,2.55,-0.15,,0.55,0.55,0.64,0.00,0.55,3.00,0.72,11.00
readable,2.00,2.10,0.57,2.00,1.00,3.00,10.00,2.03,-0.68,,0.03,0.03,0.98,0.00,0.03,2.00,0.64,10.00
resignation,2.00,3.18,0.60,3.00,2.00,4.00,11.00,3.21,0.50,,1.21,1.21,0.45,0.00,1.21,3.00,0.58,11.00
sufferer,2.00,2.56,0.53,3.00,2.00,3.00,9.00,2.54,-0.16,,0.54,0.54,0.65,0.00,0.54,3.00,0.73,9.00
unveil,2.00,2.09,0.30,2.00,2.00,3.00,11.00,2.08,-0.62,,0.08,0.08,0.92,0.00,0.08,2.00,0.47,11.00
villager,2.00,2.27,0.65,2.00,1.00,3.00,11.00,2.21,-0.49,,0.21,0.21,0.83,0.00,0.21,2.00,0.79,11.00
bombardment,2.00,3.00,0.71,3.00,2.00,4.00,9.00,3.31,0.60,,1.31,1.31,0.43,0.00,1.31,3.00,0.74,9.00
homogeneous,3.00,2.92,0.67,3.00,2.00,4.00,12.00,2.88,0.18,,-0.12,0.12,0.89,0.12,0.00,3.00,0.79,12.00
nonnarcotic,2.00,3.11,0.60,3.00,2.00,4.00,9.00,3.04,0.34,,1.04,1.04,0.49,0.00,1.04,3.00,0.46,9.00
overbalances,3.00,3.09,0.54,3.00,2.00,4.00,11.00,3.03,0.33,,0.03,0.03,0.97,0.00,0.03,3.00,0.81,11.00
precautionary,4.00,3.20,0.63,3.00,2.00,4.00,10.00,3.20,0.49,,-0.80,0.80,0.56,0.80,0.00,3.00,0.58,10.00
premeditating,3.00,3.36,0.81,4.00,2.00,4.00,11.00,3.39,0.69,,0.39,0.39,0.72,0.00,0.39,3.00,0.92,11.00
processions,4.00,3.50,0.76,4.00,2.00,4.00,8.00,3.08,0.38,,-0.92,0.92,0.52,0.92,0.00,3.00,0.22,8.00
acreage,2.00,1.89,0.33,2.00,1.00,2.00,9.00,1.96,-0.75,,-0.04,0.04,0.96,0.04,0.00,2.00,0.37,9.00
adapter,2.00,2.33,0.50,2.00,2.00,3.00,9.00,2.28,-0.42,,0.28,0.28,0.78,0.00,0.28,2.00,0.80,9.00
airless,2.00,1.80,0.42,2.00,1.00,2.00,10.00,1.88,-0.82,,-0.12,0.12,0.90,0.12,0.00,2.00,0.63,10.00
basketful,2.00,2.30,0.48,2.00,2.00,3.00,10.00,2.40,-0.31,,0.40,0.40,0.71,0.00,0.40,2.00,0.05,10.00
boner,2.00,1.77,0.44,2.00,1.00,2.00,13.00,1.87,-0.83,,-0.13,0.13,0.89,0.13,0.00,2.00,0.25,13.00
boredom,2.00,2.18,0.60,2.00,1.00,3.00,11.00,2.26,-0.45,,0.26,0.26,0.79,0.00,0.26,2.00,0.60,11.00
clarification,3.00,2.82,0.87,3.00,2.00,4.00,11.00,2.80,0.10,,-0.20,0.20,0.84,0.20,0.00,3.00,0.42,11.00
depletion,3.00,2.40,0.52,2.00,2.00,3.00,10.00,2.39,-0.31,,-0.61,0.61,0.62,0.61,0.00,2.00,0.67,10.00
descale,2.00,1.88,0.35,2.00,1.00,2.00,8.00,1.99,-0.71,,-0.01,0.01,0.99,0.01,0.00,2.00,-0.67,8.00
detective,2.00,2.44,0.53,2.00,2.00,3.00,9.00,2.62,-0.09,,0.62,0.62,0.62,0.00,0.62,3.00,-0.16,9.00
fatalism,3.00,2.30,0.67,2.00,2.00,4.00,10.00,2.36,-0.35,,-0.64,0.64,0.61,0.64,0.00,2.00,0.71,10.00
orchestration,3.00,2.90,0.99,3.00,2.00,5.00,10.00,2.84,0.13,,-0.16,0.16,0.86,0.16,0.00,3.00,0.44,10.00
outbid,2.00,2.00,0.00,2.00,2.00,2.00,10.00,1.98,-0.73,,-0.02,0.02,0.98,0.02,0.00,2.00,,10.00
penalize,2.00,2.10,0.32,2.00,2.00,3.00,10.00,2.19,-0.51,,0.19,0.19,0.84,0.00,0.19,2.00,0.52,10.00
rental,2.00,1.70,0.48,2.00,1.00,2.00,10.00,1.91,-0.79,,-0.09,0.09,0.92,0.09,0.00,2.00,0.42,10.00
shrillness,2.00,2.30,0.48,2.00,2.00,3.00,10.00,2.15,-0.56,,0.15,0.15,0.87,0.00,0.15,2.00,0.42,10.00
spiritual,2.00,2.36,0.81,2.00,2.00,4.00,11.00,2.36,-0.34,,0.36,0.36,0.73,0.00,0.36,2.00,0.79,11.00
stimulation,3.00,2.18,0.75,2.00,1.00,4.00,11.00,2.31,-0.40,,-0.69,0.69,0.59,0.69,0.00,2.00,0.82,11.00
thorniest,3.00,2.40,0.52,2.00,2.00,3.00,10.00,2.35,-0.36,,-0.65,0.65,0.60,0.65,0.00,2.00,0.61,10.00
voluminous,2.00,2.73,0.47,3.00,2.00,3.00,11.00,2.72,0.01,,0.72,0.72,0.58,0.00,0.72,3.00,0.24,11.00
apprenticeships,3.00,3.80,0.79,4.00,3.00,5.00,10.00,3.57,0.86,,0.57,0.57,0.64,0.00,0.57,4.00,0.65,10.00
catchiest,3.00,2.56,0.53,3.00,2.00,3.00,9.00,2.64,-0.06,,-0.36,0.36,0.74,0.36,0.00,3.00,0.58,9.00
characteristics,3.00,3.45,0.93,3.00,2.00,5.00,11.00,3.53,0.82,,0.53,0.53,0.66,0.00,0.53,4.00,0.72,11.00
cleaners,3.00,2.78,0.44,3.00,2.00,3.00,9.00,2.84,0.14,,-0.16,0.16,0.86,0.16,0.00,3.00,0.47,9.00
deleveraging,3.00,3.44,0.53,3.00,3.00,4.00,9.00,3.49,0.79,,0.49,0.49,0.67,0.00,0.49,3.00,0.40,9.00
derivations,3.00,3.30,1.06,3.00,2.00,5.00,10.00,3.27,0.56,,0.27,0.27,0.79,0.00,0.27,3.00,0.93,10.00
divergence,3.00,2.82,0.40,3.00,2.00,3.00,11.00,2.81,0.11,,-0.19,0.19,0.84,0.19,0.00,3.00,0.38,11.00
exceedingly,4.00,3.40,0.52,3.00,3.00,4.00,10.00,3.43,0.72,,-0.57,0.57,0.64,0.57,0.00,3.00,0.45,10.00
impartial,3.00,2.70,0.67,3.00,2.00,4.00,10.00,2.69,-0.02,,-0.31,0.31,0.76,0.31,0.00,3.00,0.59,10.00
inhalations,4.00,3.45,0.93,4.00,2.00,5.00,11.00,3.41,0.71,,-0.59,0.59,0.63,0.59,0.00,3.00,0.68,11.00
limitlessness,3.00,2.90,0.32,3.00,2.00,3.00,10.00,3.09,0.38,,0.09,0.09,0.92,0.00,0.09,3.00,0.46,10.00
normalisation,4.00,3.11,0.78,3.00,2.00,5.00,9.00,3.12,0.42,,-0.88,0.88,0.53,0.88,0.00,3.00,0.90,9.00
overburdening,3.00,3.50,0.85,3.00,3.00,5.00,10.00,3.40,0.70,,0.40,0.40,0.71,0.00,0.40,3.00,0.77,10.00
pigmentation,2.00,3.00,0.50,3.00,2.00,4.00,9.00,2.93,0.23,,0.93,0.93,0.52,0.00,0.93,3.00,0.61,9.00
protectionist,3.00,3.55,0.52,4.00,3.00,4.00,11.00,3.37,0.67,,0.37,0.37,0.73,0.00,0.37,3.00,0.73,11.00
reassurances,5.00,3.67,0.49,4.00,3.00,4.00,12.00,3.65,0.95,,-1.35,1.35,0.43,1.35,0.00,4.00,0.34,12.00
ringers,3.00,2.56,0.53,3.00,2.00,3.00,9.00,2.66,-0.05,,-0.34,0.34,0.74,0.34,0.00,3.00,0.58,9.00
unhinges,3.00,2.70,0.48,3.00,2.00,3.00,10.00,2.87,0.16,,-0.13,0.13,0.88,0.13,0.00,3.00,0.69,10.00
vaporizing,3.00,3.00,0.60,3.00,2.00,4.00,12.00,2.99,0.28,,-0.01,0.01,0.99,0.01,0.00,3.00,0.84,12.00
wishfully,3.00,3.18,0.60,3.00,3.00,5.00,11.00,3.20,0.49,,0.20,0.20,0.83,0.00,0.20,3.00,0.49,11.00
reinstatement,4.00,3.55,0.52,4.00,3.00,4.00,11.00,3.42,0.71,,-0.58,0.58,0.63,0.58,0.00,3.00,0.68,11.00
expresso,3.00,2.11,0.78,2.00,1.00,3.00,9.00,2.18,-0.52,,-0.82,0.82,0.55,0.82,0.00,2.00,0.80,9.00
outburst,2.00,1.90,0.32,2.00,1.00,2.00,10.00,2.10,-0.60,,0.10,0.10,0.91,0.00,0.10,2.00,0.02,10.00
confinement,3.00,2.63,0.52,3.00,2.00,3.00,8.00,2.67,-0.04,,-0.33,0.33,0.75,0.33,0.00,3.00,0.34,8.00
crispness,2.00,2.17,0.39,2.00,2.00,3.00,12.00,2.11,-0.60,,0.11,0.11,0.90,0.00,0.11,2.00,0.10,12.00
generically,3.00,3.20,1.03,3.00,2.00,5.00,10.00,3.04,0.33,,0.04,0.04,0.96,0.00,0.04,3.00,0.88,10.00
hesitated,3.00,2.50,0.53,2.50,2.00,3.00,10.00,2.56,-0.14,,-0.44,0.44,0.70,0.44,0.00,3.00,0.26,10.00
humidify,2.00,2.10,0.32,2.00,2.00,3.00,10.00,2.28,-0.43,,0.28,0.28,0.78,0.00,0.28,2.00,0.83,10.00
insisting,3.00,2.67,0.49,3.00,2.00,3.00,12.00,2.58,-0.13,,-0.42,0.42,0.70,0.42,0.00,3.00,0.38,12.00
locally,2.00,2.10,0.32,2.00,2.00,3.00,10.00,2.14,-0.56,,0.14,0.14,0.88,0.00,0.14,2.00,0.12,10.00
quickest,2.00,2.00,0.00,2.00,2.00,2.00,12.00,2.12,-0.59,,0.12,0.12,0.90,0.00,0.12,2.00,,12.00
repairer,3.00,2.56,0.53,3.00,2.00,3.00,9.00,2.65,-0.05,,-0.35,0.35,0.74,0.35,0.00,3.00,0.38,9.00
stalker,2.00,2.09,0.30,2.00,2.00,3.00,11.00,2.01,-0.70,,0.01,0.01,0.99,0.00,0.01,2.00,0.50,11.00
besieged,3.00,2.91,0.30,3.00,2.00,3.00,11.00,2.69,-0.02,,-0.31,0.31,0.76,0.31,0.00,3.00,0.39,11.00
climbers,3.00,2.50,0.71,3.00,1.00,3.00,10.00,2.57,-0.14,,-0.43,0.43,0.70,0.43,0.00,3.00,0.77,10.00
communications,5.00,3.91,1.45,4.00,2.00,6.00,11.00,3.72,1.02,,-1.28,1.28,0.44,1.28,0.00,4.00,0.90,11.00
counterintelligence,3.00,3.30,1.25,3.00,2.00,6.00,10.00,3.31,0.60,,0.31,0.31,0.76,0.00,0.31,3.00,0.18,10.00
devalued,3.00,2.91,0.30,3.00,2.00,3.00,11.00,2.95,0.25,,-0.05,0.05,0.95,0.05,0.00,3.00,0.02,11.00
disablement,3.00,2.70,0.48,3.00,2.00,3.00,10.00,2.79,0.09,,-0.21,0.21,0.83,0.21,0.00,3.00,0.47,10.00
indelicately,4.00,3.18,0.40,3.00,3.00,4.00,11.00,3.20,0.50,,-0.80,0.80,0.56,0.80,0.00,3.00,0.43,11.00
insanity,3.00,3.00,0.00,3.00,3.00,3.00,10.00,2.92,0.21,,-0.08,0.08,0.92,0.08,0.00,3.00,,10.00
invitational,3.00,3.78,1.09,4.00,2.00,5.00,9.00,3.42,0.72,,0.42,0.42,0.70,0.00,0.42,3.00,0.74,9.00
misbehaviour,3.00,3.00,0.47,3.00,2.00,4.00,10.00,2.96,0.25,,-0.04,0.04,0.96,0.04,0.00,3.00,0.49,10.00
misnamed,3.00,2.90,0.32,3.00,2.00,3.00,10.00,2.88,0.17,,-0.12,0.12,0.89,0.12,0.00,3.00,-0.02,10.00
nauseated,3.00,2.80,0.42,3.00,2.00,3.00,10.00,2.71,0.01,,-0.29,0.29,0.78,0.29,0.00,3.00,0.47,10.00
nonreciprocally,4.00,4.00,1.32,3.00,3.00,6.00,9.00,3.83,1.13,,-0.17,0.17,0.86,0.17,0.00,4.00,0.84,9.00
overpromoted,4.00,3.40,0.52,3.00,3.00,4.00,10.00,3.37,0.67,,-0.63,0.63,0.61,0.63,0.00,3.00,0.25,10.00
pushers,3.00,2.50,0.53,2.50,2.00,3.00,10.00,2.51,-0.19,,-0.49,0.49,0.67,0.49,0.00,3.00,0.23,10.00
retaking,3.00,2.82,0.40,3.00,2.00,3.00,11.00,2.93,0.23,,-0.07,0.07,0.94,0.07,0.00,3.00,0.62,11.00
riders,3.00,2.60,0.52,3.00,2.00,3.00,10.00,2.53,-0.18,,-0.47,0.47,0.68,0.47,0.00,3.00,-0.45,10.00
secularized,3.00,2.88,0.99,3.00,2.00,5.00,8.00,3.00,0.30,,0.00,0.00,1.00,0.00,0.00,3.00,0.86,8.00
unimproved,3.00,3.33,0.50,3.00,3.00,4.00,9.00,3.42,0.71,,0.42,0.42,0.71,0.00,0.42,3.00,0.16,9.00
unpredictable,3.00,3.38,0.52,3.00,3.00,4.00,8.00,3.35,0.65,,0.35,0.35,0.74,0.00,0.35,3.00,0.91,8.00
implementations,4.00,4.10,0.99,4.00,3.00,6.00,10.00,3.91,1.21,,-0.09,0.09,0.92,0.09,0.00,4.00,0.67,10.00
internalization,5.00,4.30,1.16,4.00,3.00,6.00,10.00,4.00,1.30,,-1.00,1.00,0.50,1.00,0.00,4.00,0.90,10.00
sassy,2.00,1.56,0.53,2.00,1.00,2.00,9.00,1.74,-0.97,,-0.26,0.26,0.79,0.26,0.00,2.00,0.22,9.00
amplify,2.00,2.00,0.71,2.00,1.00,3.00,9.00,2.19,-0.51,,0.19,0.19,0.84,0.00,0.19,2.00,0.51,9.00
bearable,2.00,2.27,0.47,2.00,2.00,3.00,11.00,2.34,-0.37,,0.34,0.34,0.75,0.00,0.34,2.00,0.35,11.00
